name,political,social,age,gender
Özlem DEMIREL,19.53,36.64,37,Female
Pilar del CASTILLO VERA,30.23,25.66,69,Female
Carlo FIDANZA,13.02,42.75,45,Male
Nuno MELO,14.88,40.71,55,Male
Johan DANIELSSON,48.84,6.75,39,Male
Asger CHRISTENSEN,24.19,31.36,63,Male
Petar VITANOV,46.98,8.51,39,Male
Markus BUCHHEIT,12.09,43.05,38,Male
Ryszard CZARNECKI,28.37,26.73,58,Male
Kim VAN SPARRENTAK,19.53,35.47,31,Female
Michaela ŠOJDROVÁ,17.67,37.31,57,Female
Paolo BORCHIA,36.74,18.24,41,Male
Annika BRUNA,5.12,49.71,64,Female
Maria WALSH,17.67,37.1,34,Female
Domènec RUIZ DEVESA,34.88,19.61,43,Male
Marc ANGEL,34.42,20.02,58,Male
Morten LØKKEGAARD,18.14,36.29,56,Male
Joachim SCHUSTER,32.56,21.69,58,Male
Estrella DURÁ FERRANDIS,34.42,19.81,58,Female
Beata MAZUREK,19.53,34.1,53,Female
Elena LIZZI,16.74,36.8,53,Female
Peter JAHR,37.21,16,62,Male
Søren GADE,53.02,0,58,Male
Salima YENBOU,19.53,33.44,50,Female
Bogdan RZOŃCA,20.23,32.68,60,Male
Pernando BARRENA ARZA,19.53,33.34,55,Male
Loucas FOURLAS,19.53,33.34,52,Male
Massimo CASANOVA,23.26,29.12,51,Male
Magdalena ADAMOWICZ,16.28,36.08,48,Female
Carles PUIGDEMONT I CASAMAJÓ,12.56,39.75,58,Male
Klemen GROŠELJ,24.65,27.03,45,Male
Monika VANA,29.30,22.15,52,Female
Isabella ADINOLFI,27.91,23.37,43,Female
David McALLISTER,26.98,23.83,50,Male
Arnaud DANJEAN,19.53,31.2,50,Male
Demetris PAPADAKIS,33.02,17.73,55,Male
Ljudmila NOVAK,39.07,11.58,62,Female
Christine SCHNEIDER,34.42,16.1,49,Female
Cyrus ENGERER,43.26,7.25,40,Male
Gunnar BECK,7.91,42.49,55,Male
Daniel CASPARY,30.70,19.56,45,Male
Philippe OLIVIER,13.95,36.08,60,Male
Petras AUŠTREVIČIUS,36.28,13.76,58,Male
Patrick BREYER,18.14,31.86,44,Male
Günther SIDL,49.77,0,46,Male
Giuliano PISAPIA,20.93,28.81,72,Male
Izabela-Helena KLOC,28.37,20.88,58,Female
Ivars IJABS,39.07,10.1,48,Male
Antonio LÓPEZ-ISTÚRIZ WHITE,25.12,23.98,51,Male
Gerolf ANNEMANS,11.63,37.41,62,Male
Andreas GLÜCK,24.65,24.19,46,Male
Luisa REGIMENTI,24.19,24.54,63,Female
Dragoș PÎSLARU,32.09,16.46,45,Male
Dan NICA,48.37,0,61,Male
Monika BEŇOVÁ,47.91,0,53,Female
Romana TOMC,23.26,24.64,55,Female
Predrag Fred MATIĆ,37.67,10.15,59,Male
Maxette PIRBAKAS,7.91,39.54,46,Female
Janina OCHOJSKA,6.98,40,66,Female
Edina TÓTH,20.00,26.98,46,Female
Sándor RÓNAI,46.05,0.88,32,Male
Marco CAMPOMENOSI,21.40,25.51,46,Male
Dita CHARANZOVÁ,20.00,26.83,46,Female
Alin MITUȚA,40.47,5.86,37,Male
István UJHELYI,40.93,5.37,46,Male
Svenja HAHN,10.70,35.47,32,Female
