last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
CARÊME,Damien,Group of the Greens/European Free Alliance,France,@damienCAREME,0,12.73,6
ŠTEFANEC,Ivan,Group of the European People's Party (Christian Democrats),Slovakia,@IvanStefanec,0,12.73,6
VUOLO,Lucia,Identity and Democracy Group,Italy,@LuciaVuoloEU,0,12.73,6
SASSOLI,David Maria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,,0,12.73,6
FIDANZA,Carlo,European Conservatives and Reformists Group,Italy,@FidanzaCarlo,0,12.73,6
STANCANELLI,Raffaele,European Conservatives and Reformists Group,Italy,,0,12.73,6
KIZILYÜREK,Niyazi,Group of the European United Left - Nordic Green Left,Cyprus,@NKizilyurek,6.14,6.37,6
ĎURIŠ NICHOLSONOVÁ,Lucia,European Conservatives and Reformists Group,Slovakia,@LNicholsonova,0.8,11.67,6
PROCACCINI,Nicola,European Conservatives and Reformists Group,Italy,@NProcaccini,4.79,7.43,6
MELBĀRDE,Dace,European Conservatives and Reformists Group,Latvia,@Dace_Melbarde,0,11.67,6
TRÓCSÁNYI,László,Group of the European People's Party (Christian Democrats),Hungary,@trocsanyi,0,11.67,6
MARIANI,Thierry,Identity and Democracy Group,France,@thierryMARIANI,0,11.67,6
PIGNEDOLI,Sabrina,Non-attached Members,Italy,@SabriPignedoli,0,11.67,6
HERZBERGER-FOFANA,Pierrette,Group of the Greens/European Free Alliance,Germany,@DrPierrette,0,11.67,6
ADINOLFI,Matteo,Identity and Democracy Group,Italy,@adinolfi_matteo,0,11.67,6
BOGDAN,Ioan-Rareş,Group of the European People's Party (Christian Democrats),Romania,@BogdanRogin,0,11.67,6
SINČIĆ,Ivan Vilibor,Non-attached Members,Croatia,,0,11.67,6
POLLÁK,Peter,Group of the European People's Party (Christian Democrats),Slovakia,@DrPeterPollak,0,11.67,6
HAJŠEL,Robert,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Slovakia,@RobertHajsel,0.97,10.61,6
GYÖNGYÖSI,Márton,Non-attached Members,Hungary,@GyongyosiMarton,9.25,2.12,6
BECK,Gunnar,Identity and Democracy Group,Germany,@gunnar_beck,6.53,4.24,5
GEORGOULIS,Alexis,Group of the European United Left - Nordic Green Left,Greece,@AlexisMep,2.18,8.49,5
STEGRUD,Jessica,European Conservatives and Reformists Group,Sweden,,0,10.61,5
KONSTANTINOU,Athanasios,Non-attached Members,Greece,,0,10.61,5
TARDINO,Annalisa,Identity and Democracy Group,Italy,@TardinoAnnalisa,0,10.61,5
PANZA,Alessandro,Identity and Democracy Group,Italy,@alepanzaoff,0,10.61,5
JAKELIŪNAS,Stasys,Group of the Greens/European Free Alliance,Lithuania,@sjakeliunas,0,10.61,5
PIRBAKAS,Maxette,Identity and Democracy Group,France,@MaxettePirbakas,0,10.61,5
TUDOSE,Mihai,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,@MihaiTudosePM,0,9.55,5
ZAMBELLI,Stefania,Identity and Democracy Group,Italy,@ZambelliLega,0,9.55,5
GEORGIOU,Giorgos,Group of the European United Left - Nordic Green Left,Cyprus,@ggeorgiougr,0,8.49,4
VILIMSKY,Harald,Identity and Democracy Group,Austria,@vilimsky,0,8.49,4
MALDEIKIENĖ,Aušra,Group of the European People's Party (Christian Democrats),Lithuania,@maldeikiene,2.19,5.31,4
DOBREV,Klára,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,@DobrevKlara,0,7.43,4
KOFOD,Peter,Identity and Democracy Group,Denmark,@KofodPeter,0,7.43,4
FEST,Nicolaus,Identity and Democracy Group,Germany,@Nicolaus_Fest,0,7.43,4
GRANT,Valentino,Identity and Democracy Group,Italy,@ValentinoGrant,0,7.43,4
BASSO,Alessandra,Identity and Democracy Group,Italy,@alebassoMEP,0,7.43,4
ROOKMAKER,Dorien,Non-attached Members,Netherlands,@RookmakerDorien,0,7.43,4
WISELER-LIMA,Isabel,Group of the European People's Party (Christian Democrats),Luxembourg,@iwiseler,1.33,5.31,3
PEREIRA,Sandra,Group of the European United Left - Nordic Green Left,Portugal,@Sandra_Pereira_,0,6.37,3
BLAŠKO,Hynek,Identity and Democracy Group,Czechia,,0,6.37,3
BERG,Lars Patrick,Identity and Democracy Group,Germany,@LarsPatrickBerg,0.74,5.31,3
FRAGKOS,Emmanouil,European Conservatives and Reformists Group,Greece,@e_fragkos,0.57,5.31,3
KUHS,Joachim,Identity and Democracy Group,Germany,@Joachim_Kuhs,0,5.31,3
ZIMNIOK,Bernhard,Identity and Democracy Group,Germany,@BernhardZimniok,2.51,2.12,2
REIL,Guido,Identity and Democracy Group,Germany,@GuidoReil,0,4.24,2
TOMAC,Eugen,Group of the European People's Party (Christian Democrats),Romania,@eugen_tomac,0,4.24,2
