"name","political","social","age","gender"
"MEP",7.91,54.39,59,"Male"
"MEP",39.07,23.17,42,"Male"
"MEP",32.09,30.03,62,"Male"
"MEP",18.14,43.97,29,"Female"
"MEP",26.98,35.02,56,"Female"
"MEP",26.51,35.42,43,"Male"
"MEP",17.67,43.61,58,"Female"
"MEP",14.88,46.25,46,"Male"
"MEP",19.53,41.58,56,"Male"
"MEP",41.86,19,46,"Female"
"MEP",38.6,22.1,73,"Male"
"MEP",42.79,17.58,69,"Male"
"MEP",27.91,32.07,58,"Male"
"MEP",27.44,32.53,38,"Male"
"MEP",38.14,21.64,66,"Female"
"MEP",56.28,3.32,43,"Male"
"MEP",13.95,45.49,57,"Female"
"MEP",21.86,37.51,49,"Female"
"MEP",26.51,32.73,49,"Female"
"MEP",23.72,34.66,39,"Male"
"MEP",34.88,23.42,33,"Male"
"MEP",24.65,33.54,49,"Male"
"MEP",23.26,34.86,49,"Male"
"MEP",27.91,30.14,32,"Female"
"MEP",44.65,13.36,67,"Female"
"MEP",12.56,45.34,45,"Female"
"MEP",27.44,30.34,54,"Male"
"MEP",23.26,34.36,42,"Male"
"MEP",6.05,51.39,44,"Male"
"MEP",0,57.34,59,"Male"
"MEP",23.26,33.95,64,"Female"
"MEP",25.12,32.07,40,"Male"
"MEP",30.7,26.47,62,"Male"
"MEP",33.02,24.14,66,"Male"
"MEP",23.26,33.8,62,"Female"
"MEP",25.12,31.61,64,"Female"
"MEP",26.98,29.68,32,"Male"
"MEP",28.14,28.15,55,"Male"
"MEP",19.53,36.64,37,"Female"
"MEP",30.23,25.66,69,"Female"
"MEP",13.02,42.75,45,"Male"
"MEP",14.88,40.71,55,"Male"
"MEP",48.84,6.75,39,"Male"
"MEP",24.19,31.36,63,"Male"
"MEP",46.98,8.51,39,"Male"
"MEP",12.09,43.05,38,"Male"
"MEP",28.37,26.73,58,"Male"
"MEP",19.53,35.47,31,"Female"
"MEP",17.67,37.31,57,"Female"
"MEP",36.74,18.24,41,"Male"
"MEP",5.12,49.71,64,"Female"
"MEP",17.67,37.1,34,"Female"
"MEP",34.88,19.61,43,"Male"
"MEP",34.42,20.02,58,"Male"
"MEP",18.14,36.29,56,"Male"
"MEP",32.56,21.69,58,"Male"
"MEP",34.42,19.81,58,"Female"
"MEP",19.53,34.1,53,"Female"
"MEP",16.74,36.8,53,"Female"
"MEP",37.21,16,62,"Male"
"MEP",53.02,0,58,"Male"
"MEP",19.53,33.44,50,"Female"
"MEP",20.23,32.68,60,"Male"
"MEP",19.53,33.34,55,"Male"
"MEP",19.53,33.34,52,"Male"
"MEP",23.26,29.12,51,"Male"
"MEP",16.28,36.08,48,"Female"
"MEP",12.56,39.75,58,"Male"
"MEP",24.65,27.03,45,"Male"
"MEP",29.3,22.15,52,"Female"
"MEP",27.91,23.37,43,"Female"
"MEP",26.98,23.83,50,"Male"
"MEP",19.53,31.2,50,"Male"
"MEP",33.02,17.73,55,"Male"
"MEP",39.07,11.58,62,"Female"
"MEP",34.42,16.1,49,"Female"
"MEP",43.26,7.25,40,"Male"
"MEP",7.91,42.49,55,"Male"
"MEP",30.7,19.56,45,"Male"
"MEP",13.95,36.08,60,"Male"
"MEP",36.28,13.76,58,"Male"
"MEP",18.14,31.86,44,"Male"
"MEP",49.77,0,46,"Male"
"MEP",20.93,28.81,72,"Male"
"MEP",28.37,20.88,58,"Female"
"MEP",39.07,10.1,48,"Male"
"MEP",25.12,23.98,51,"Male"
"MEP",11.63,37.41,62,"Male"
"MEP",24.65,24.19,46,"Male"
"MEP",24.19,24.54,63,"Female"
"MEP",32.09,16.46,45,"Male"
"MEP",48.37,0,61,"Male"
"MEP",47.91,0,53,"Female"
"MEP",23.26,24.64,55,"Female"
"MEP",37.67,10.15,59,"Male"
"MEP",7.91,39.54,46,"Female"
"MEP",6.98,40,66,"Female"
"MEP",20,26.98,46,"Female"
"MEP",46.05,0.88,32,"Male"
"MEP",21.4,25.51,46,"Male"
"MEP",20,26.83,46,"Female"
"MEP",40.47,5.86,37,"Male"
"MEP",40.93,5.37,46,"Male"
"MEP",10.7,35.47,32,"Female"
"MEP",11.63,34.56,39,"Male"
"MEP",29.3,16.81,50,"Male"
"MEP",35.7,10.2,63,"Male"
"MEP",29.77,16.1,70,"Male"
"MEP",19.53,26.27,64,"Female"
"MEP",45.58,0,60,"Male"
"MEP",45.58,0,51,"Male"
"MEP",43.26,2.31,65,"Male"
"MEP",22.79,22.66,53,"Female"
"MEP",26.05,19.25,37,"Male"
"MEP",0.93,43.92,53,"Female"
"MEP",32.09,11.73,61,"Female"
"MEP",18.14,25.51,54,"Female"
"MEP",5.58,38.02,68,"Male"
"MEP",13.95,29.63,53,"Male"
"MEP",12.09,31.31,28,"Female"
"MEP",26.05,17.22,59,"Male"
"MEP",27.44,15.29,65,"Female"
"MEP",40,2.61,48,"Male"
"MEP",32.56,10,68,"Male"
"MEP",34.42,7.9,49,"Male"
"MEP",12.56,29.63,31,"Male"
"MEP",38.14,4,51,"Male"
"MEP",36.74,5.27,31,"Female"
"MEP",27.91,14.07,64,"Female"
"MEP",29.77,11.98,68,"Male"
"MEP",33.49,7.97,56,"Female"
"MEP",38.14,3.14,56,"Male"
"MEP",23.72,17.37,67,"Male"
"MEP",31.63,9.29,50,"Male"
"MEP",18.6,21.69,76,"Male"
"MEP",6.98,33.29,37,"Female"
"MEP",15.81,24.44,42,"Female"
"MEP",21.4,18.85,33,"Male"
"MEP",30.23,9.95,57,"Male"
"MEP",22.33,17.83,58,"Female"
"MEP",13.95,25.92,34,"Male"
"MEP",34.42,5.32,55,"Female"
"MEP",20.47,19,34,"Female"
"MEP",36.74,2.58,53,"Male"
"MEP",15.81,23.47,45,"Male"
"MEP",22.33,16.81,43,"Male"
"MEP",39.07,0,72,"Male"
"MEP",39.07,0,55,"Female"
"MEP",38.6,0,59,"Female"
"MEP",38.14,0,67,"Male"
"MEP",38.14,0,52,"Male"
"MEP",33.95,4.08,68,"Male"
"MEP",12.09,25.92,55,"Female"
"MEP",18.14,19.81,47,"Male"
"MEP",37.67,0,64,"Female"
"MEP",33.02,4.49,61,"Male"
"MEP",34.88,2.56,33,"Female"
"MEP",21.86,15.49,52,"Male"
"MEP",37.21,0,64,"Male"
"MEP",37.21,0,48,"Male"
"MEP",20,17.07,42,"Male"
"MEP",14.42,22.61,45,"Female"
"MEP",28.37,8.68,42,"Female"
"MEP",13.95,23.07,39,"Male"
"MEP",23.26,13.61,54,"Male"
"MEP",22.33,14.47,53,"Male"
"MEP",27.44,9.19,37,"Female"
"MEP",23.72,12.8,58,"Female"
"MEP",13.49,22.92,52,"Male"
"MEP",33.95,2.42,65,"Male"
"MEP",31.16,4.86,39,"Female"
"MEP",35.81,0.14,54,"Female"
"MEP",26.51,9.34,54,"Male"
"MEP",35.81,0,59,"Male"
"MEP",30,5.53,48,"Male"
"MEP",26.51,8.61,57,"Female"
"MEP",34.88,0,70,"Male"
"MEP",34.88,0,44,"Male"
"MEP",26.98,7.81,69,"Male"
"MEP",25.12,9.53,54,"Male"
"MEP",31.63,2.86,54,"Female"
"MEP",34.42,0,69,"Female"
"MEP",34.42,0,61,"Female"
"MEP",34.42,0,32,"Male"
"MEP",26.05,8.36,52,"Male"
"MEP",26.05,8.22,46,"Male"
"MEP",19.53,14.73,52,"Female"
"MEP",33.02,1.24,53,"Female"
"MEP",33.95,0.17,35,"Male"
"MEP",20.47,13.56,67,"Male"
"MEP",27.91,6.08,59,"Female"
"MEP",24.19,9.8,40,"Female"
"MEP",33.95,0,66,"Male"
"MEP",30.7,3.22,53,"Female"
"MEP",33.49,0,73,"Male"
"MEP",33.49,0,64,"Male"
"MEP",21.86,11.53,59,"Female"
"MEP",26.51,6.29,39,"Female"
"MEP",30.23,2.58,36,"Male"
"MEP",21.4,11.37,51,"Female"
"MEP",30.7,1.9,68,"Female"
"MEP",32.56,0,55,"Female"
"MEP",30.7,1.41,64,"Male"
"MEP",32.09,0,62,"Male"
"MEP",31.63,0,66,"Female"
"MEP",31.63,0,54,"Female"
"MEP",31.63,0,29,"Male"
"MEP",19.07,12.44,36,"Male"
"MEP",31.16,0,49,"Male"
"MEP",27.91,3.08,41,"Male"
"MEP",30.7,0,65,"Female"
"MEP",30.7,0,61,"Female"
"MEP",30.7,0,54,"Male"
"MEP",30.7,0,54,"Male"
"MEP",17.67,12.9,61,"Male"
"MEP",30.23,0,64,"Male"
"MEP",30.23,0,49,"Female"
"MEP",30.23,0,40,"Female"
"MEP",25.12,4.97,37,"Male"
"MEP",22.79,7.05,42,"Male"
"MEP",29.77,0,71,"Male"
"MEP",22.79,6.95,50,"Female"
